IP,ASN,TIME,ID,DESC
"196.196.218.137","AS63119","2017-08-28T13:24:26.337595","1","Heartbleed"
"165.231.173.100",,"2017-08-28T13:22:43.646268","1","Heartbleed"
"196.196.218.60","AS63119","2017-08-28T13:22:19.090046","1","Heartbleed"
"196.196.218.105","AS63119","2017-08-28T13:21:46.560949","1","Heartbleed"
"196.196.219.217","AS63119","2017-08-28T13:18:06.762208","1","Heartbleed"
"165.231.175.172",,"2017-08-28T13:17:29.312991","1","Heartbleed"
"165.231.173.177",,"2017-08-28T13:15:14.645207","1","Heartbleed"
"196.196.219.169","AS63119","2017-08-28T13:13:11.034129","1","Heartbleed"
"196.196.218.117","AS63119","2017-08-28T13:12:35.363891","1","Heartbleed"
"165.231.163.14","AS63119","2017-08-28T13:12:03.275857","1","Heartbleed"
"165.231.174.232",,"2017-08-28T13:11:56.749370","1","Heartbleed"
"196.196.218.157","AS63119","2017-08-28T13:10:26.562393","1","Heartbleed"
"196.196.219.249","AS63119","2017-08-28T13:07:21.650869","1","Heartbleed"
"165.231.162.139","AS63119","2017-08-28T13:02:41.976913","1","Heartbleed"
"196.196.223.186",,"2017-08-28T13:01:25.419300","1","Heartbleed"
"196.196.218.160","AS63119","2017-08-28T13:00:39.162285","1","Heartbleed"
"165.231.172.246",,"2017-08-28T12:56:58.948488","1","Heartbleed"
"196.196.218.148","AS63119","2017-08-28T12:55:19.389415","1","Heartbleed"
"196.196.217.38","AS63119","2017-08-28T12:51:24.551276","1","Heartbleed"
"165.231.174.159",,"2017-08-28T12:50:53.629590","1","Heartbleed"
"165.231.163.93","AS63119","2017-08-28T12:50:39.495715","1","Heartbleed"
"196.196.217.232","AS63119","2017-08-28T12:49:28.888320","1","Heartbleed"
"193.40.11.74","AS3221","2017-08-28T12:48:19.841844","1","Heartbleed"
"196.196.216.182","AS63119","2017-08-28T12:46:07.978427","1","Heartbleed"
"196.196.218.118","AS63119","2017-08-28T12:40:42.781993","1","Heartbleed"
"196.196.223.93",,"2017-08-28T12:40:30.525625","1","Heartbleed"
"165.231.162.241","AS63119","2017-08-28T12:39:33.554727","1","Heartbleed"
"196.196.219.131","AS63119","2017-08-28T12:39:11.499468","1","Heartbleed"
"165.231.172.138",,"2017-08-28T12:38:50.547351","1","Heartbleed"
"196.196.217.75","AS63119","2017-08-28T12:37:36.425321","1","Heartbleed"
"165.231.163.126","AS63119","2017-08-28T12:32:39.558473","1","Heartbleed"
"196.196.217.79","AS63119","2017-08-28T12:32:31.173871","1","Heartbleed"
"196.196.217.246","AS63119","2017-08-28T12:32:15.091590","1","Heartbleed"
"196.196.216.225","AS63119","2017-08-28T12:31:49.007897","1","Heartbleed"
"196.196.218.245","AS63119","2017-08-28T12:29:16.806029","1","Heartbleed"
"196.196.218.120","AS63119","2017-08-28T12:27:50.099419","1","Heartbleed"
"46.22.208.65","AS34702","2017-08-28T12:26:45.213715","1","Heartbleed"
"165.231.162.6","AS63119","2017-08-28T12:23:11.652749","1","Heartbleed"
"165.231.173.54",,"2017-08-28T12:22:56.754677","1","Heartbleed"
"165.231.172.111",,"2017-08-28T12:21:51.692441","1","Heartbleed"
"196.196.223.179",,"2017-08-28T12:21:38.328937","1","Heartbleed"
"196.196.219.194","AS63119","2017-08-28T12:21:16.951649","1","Heartbleed"
"196.196.217.248","AS63119","2017-08-28T12:19:17.066878","1","Heartbleed"
"196.196.223.150",,"2017-08-28T12:19:16.519861","1","Heartbleed"
"165.231.163.83","AS63119","2017-08-28T12:18:42.642904","1","Heartbleed"
"196.196.218.5","AS63119","2017-08-28T12:17:37.705560","1","Heartbleed"
"165.231.163.17","AS63119","2017-08-28T12:17:20.483470","1","Heartbleed"
"165.231.162.100","AS63119","2017-08-28T12:14:25.999128","1","Heartbleed"
"165.231.163.34","AS63119","2017-08-28T12:14:21.761355","1","Heartbleed"
"165.231.174.96",,"2017-08-28T12:14:01.085174","1","Heartbleed"
"196.196.216.248","AS63119","2017-08-28T12:12:03.243029","1","Heartbleed"
"196.196.216.221","AS63119","2017-08-28T12:11:25.312399","1","Heartbleed"
"165.231.163.111","AS63119","2017-08-28T12:10:53.338842","1","Heartbleed"
"165.231.172.165",,"2017-08-28T12:10:19.234535","1","Heartbleed"
"196.196.216.224","AS63119","2017-08-28T12:10:15.386806","1","Heartbleed"
"165.231.162.151","AS63119","2017-08-28T12:08:55.608728","1","Heartbleed"
"196.196.217.146","AS63119","2017-08-28T12:04:50.623208","1","Heartbleed"
"165.231.171.241",,"2017-08-28T12:04:05.799851","1","Heartbleed"
"196.196.219.158","AS63119","2017-08-28T11:59:13.947120","1","Heartbleed"
"196.196.219.174","AS63119","2017-08-28T11:56:10.068386","1","Heartbleed"
"196.196.223.251",,"2017-08-28T11:54:07.930022","1","Heartbleed"
"196.196.216.42","AS63119","2017-08-28T11:52:11.722167","1","Heartbleed"
"165.231.163.74","AS63119","2017-08-28T11:51:36.441186","1","Heartbleed"
"165.231.162.237","AS63119","2017-08-28T11:51:23.068629","1","Heartbleed"
"165.231.175.162",,"2017-08-28T11:51:18.944472","1","Heartbleed"
"165.231.165.26","AS63119","2017-08-28T11:49:49.176765","1","Heartbleed"
"196.196.221.158","AS63119","2017-08-28T11:42:07.795478","1","Heartbleed"
"165.231.163.45","AS63119","2017-08-28T11:41:02.726218","1","Heartbleed"
"165.231.173.130",,"2017-08-28T11:38:18.805078","1","Heartbleed"
"165.231.173.58",,"2017-08-28T11:34:01.260593","1","Heartbleed"
"196.196.218.44","AS63119","2017-08-28T11:30:17.594702","1","Heartbleed"
"196.196.221.156","AS63119","2017-08-28T11:29:23.178957","1","Heartbleed"
"165.231.173.139",,"2017-08-28T11:28:44.102830","1","Heartbleed"
"165.231.171.226",,"2017-08-28T11:25:30.318048","1","Heartbleed"
"165.231.172.148",,"2017-08-28T11:22:05.549572","1","Heartbleed"
"165.231.165.22","AS63119","2017-08-28T11:21:38.468993","1","Heartbleed"
"165.231.173.99",,"2017-08-28T11:21:24.945727","1","Heartbleed"
"165.231.163.120","AS63119","2017-08-28T11:20:24.848194","1","Heartbleed"
"165.231.162.5","AS63119","2017-08-28T11:16:32.691116","1","Heartbleed"
"165.231.162.35","AS63119","2017-08-28T11:06:20.512279","1","Heartbleed"
"165.231.174.103",,"2017-08-28T10:59:49.166028","1","Heartbleed"
"165.231.174.214",,"2017-08-28T10:59:41.035910","1","Heartbleed"
"196.196.216.244","AS63119","2017-08-28T10:57:20.602400","1","Heartbleed"
"196.196.218.26","AS63119","2017-08-28T10:57:17.354701","1","Heartbleed"
"196.196.216.26","AS63119","2017-08-28T10:55:24.464579","1","Heartbleed"
"196.196.217.162","AS63119","2017-08-28T10:53:54.017217","1","Heartbleed"
"196.196.219.190","AS63119","2017-08-28T10:51:05.965904","1","Heartbleed"
"196.196.216.223","AS63119","2017-08-28T10:48:37.102702","1","Heartbleed"
"165.231.171.168",,"2017-08-28T10:45:14.333607","1","Heartbleed"
"165.231.174.189",,"2017-08-28T10:43:24.289284","1","Heartbleed"
"165.231.171.213",,"2017-08-28T10:42:39.917700","1","Heartbleed"
"165.231.171.103",,"2017-08-28T10:39:37.951979","1","Heartbleed"
"165.231.171.134",,"2017-08-28T10:33:52.835648","1","Heartbleed"
"165.231.162.96","AS63119","2017-08-28T10:31:42.082530","1","Heartbleed"
